1.88000000, 86.18000000, 0.66000000, 1.35049002, 0.83741834, 2.94382796, 0.00000000, 0.00000000
# array1
-1.54572947, -0.36466555, -4.55823699, -7.18726150, -2.64345890, -2.45473850, -1.70190779, -0.83356216
-0.38305976, -0.38865404, -4.52037210, -1.49964732, -1.92721636, -0.46200657, -2.46205054, -2.15466994
-1.71446320, -1.31547335, -1.75785222, -0.79119000, -2.73428054, -0.54299058, -2.75509693, -2.43624282
-1.32917520, -0.53838021, -4.94976578, -1.52020125, -2.14083822, -2.05823991, -2.34284248, -2.21060973
-2.22282115, -1.68647730, -1.92922352, -1.36071422, -1.95489820, -0.51297138, -6.07777575, 0.38416530
-2.15057115, -1.00207122, -3.64748992, -2.52057216, -2.19295977, -2.00604310, -2.25442056, -2.16903628
-2.18722630, -1.88309849, -1.50048877, -2.17632705, -2.39889034, -1.11699021, -0.71736027, -0.10566830
0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -1.09835846
-2.29969471, 1.86890919, -2.25863760, -1.18098909, -1.72707555, -1.19826820, -1.35629310, -1.46022116
-1.28331966, -1.07520436, -1.04285283, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
# array2
0.86492307, 0.30000000, 1.02085775, 1.03333496, 0.79334429, 0.77927814, 0.88179187, 0.87202843
0.56548626, 0.30000000, 0.71084540, 0.30000000, 0.63323016, 0.96597273, 0.62525515, 1.03955764
0.79435346, 1.53628596, 0.31332033, 0.30000000, 0.97622525, 1.04846793, 1.10354269, 0.99524912
0.71566893, 1.53223004, 0.98461382, 0.88177001, 1.07781728, 0.87088973, 0.78581903, 0.76065502
0.84146934, 0.99623138, 0.40057871, 0.95258800, 0.30000000, 0.30000000, 1.26743547, 0.71548653
1.04290219, 0.30000000, 1.36166124, 1.29925049, 1.02071830, 1.16543672, 1.10302503, 0.90747278
0.75658327, 0.67425979, 0.30000000, 0.30000000, 0.30000000, 0.36231638, 0.72521971, 0.80000000
0.80000000, 0.80000000, 0.80000000, 0.80000000, 0.80000000, 0.80000000, 0.80000000, 0.80000000
0.80000000, 0.80000000, 0.80000000, 0.80000000, 0.80000000, 0.80000000, 0.80000000, 0.98651877
0.94966762, 0.30000000, 0.77934854, 1.21246185, 1.09855968, 1.14128644, 1.21039755, 0.30000000
0.80209242, 1.00476716, 0.66409135, 0.80000000, 0.80000000, 0.80000000, 0.80000000, 0.80000000
0.80000000, 0.80000000, 0.80000000, 0.80000000, 0.80000000, 0.80000000
